brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,price_num,MRP_num,Number_of_Ratings_num,Fit_Type,is_duplicate
Flying Machine,Men Relaxed Fit Jeans,1829.0,2999.0,0.39,4.1,359.0,1829.0,2999.0,3590,Relaxed,False
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,4.5,33.0,764.0,1699.0,330,Straight Fit,False
Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079.0,2399.0,0.55,3.9,416.0,1079.0,2399.0,4160,Relaxed,False
Mufti,Men Skinny Fit Jeans,1616.0,3299.0,0.51,3.9,416.0,1616.0,3299.0,4160,Skinny,False
Mast & Harbour,Men Straight Fit Jeans,827.0,1799.0,0.54,4.2,25.0,827.0,1799.0,250,Straight Fit,False
Stylecast X Kotty,Men Regular Fit  Jeans,559.0,1999.0,0.72,4.1,79.0,559.0,1999.0,790,Regular,False
Flying Machine,Men Slim Fit Jeans,1471.0,2299.0,0.36,4.1,79.0,1471.0,2299.0,790,Slim,False
HERE&NOW,Bootcut Jeans,929.0,2599.0,16.7,3.9,380.0,929.0,2599.0,3800,Bootcut,False
MAAHIT,Men Baggy Mid-Rise Jeans,689.0,2999.0,0.77,2.6,14.0,689.0,2999.0,140,Mid-Rise,False
The Indian Garage Co,Men Bootcut Jeans,808.0,2449.0,0.67,3.4,233.0,808.0,2449.0,2330,Bootcut,False
glitchez,Men Carrot Fit Jeans,713.0,1699.0,0.58,4.2,19.0,713.0,1699.0,190,Other,False
Mufti,Men Skinny Fit Jeans,1499.0,2999.0,0.5,4.2,5.0,1499.0,2999.0,50,Skinny,True
FUDE PRIDE,Men Mid-Rise Light Fade Jeans,689.0,2999.0,0.77,3.9,35.0,689.0,2999.0,350,Mid-Rise,False
Bene Kleed,Men Heavy Fade Jeans,839.0,2999.0,0.72,3.9,117.0,839.0,2999.0,1170,Other,False
Flying Machine,Men Relaxed Fit Jeans,1402.0,2299.0,0.39,3.9,117.0,1402.0,2299.0,1170,Relaxed,False
HERE&NOW,Men Cargo Baggy Mid-Rise Jeans,1325.0,3899.0,0.66,2.9,10.0,1325.0,3899.0,100,Mid-Rise,False
Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764.0,1699.0,0.55,4.1,40.0,764.0,1699.0,400,Slim,False
Flying Machine,Men Slim Fit Cotton Jeans,1599.0,2499.0,0.36,4.1,40.0,1599.0,2499.0,400,Slim,False
Roadster,Men Cotton Relaxed Fit Jeans,911.0,2399.0,0.62,4.3,20.0,911.0,2399.0,200,Relaxed,False
StyleCast x Revolte,Wide Leg Medium Shade Jeans,1364.0,3499.0,0.61,3.8,103.0,1364.0,3499.0,1030,Wide Leg,False
Mufti,Men Slim Fit Corduroy Jeans,1208.0,3899.0,0.69,4.2,56.0,1208.0,3899.0,560,Slim,True
Roadster,Light Fade Stretchable Jeans,909.0,2599.0,0.65,4.2,56.0,909.0,2599.0,560,Stretch,False
The Indian Garage Co,Men Straight Fit Jeans,959.0,2399.0,0.6,4.2,496.0,959.0,2399.0,4960,Straight Fit,False
Roadster,Men Regular Mid-Rise Jeans,645.0,1899.0,0.66,4.1,32.0,645.0,1899.0,320,Regular,False
WROGN,Men Loose Fit Jeans,1221.0,2599.0,0.53,3.8,58.0,1221.0,2599.0,580,Loose Fit,True
glitchez,Men Loose Fit Heavy Fade Jeans,615.0,2199.0,0.72,4.2,87.0,615.0,2199.0,870,Loose Fit,False
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,4.4,31.0,764.0,1699.0,310,Straight Fit,False
Style Quotient,Men Cotton Cargo Jeans,990.0,2999.0,0.66,4.3,2800.0,990.0,2999.0,28000,Other,False
Roadster,Men Flared Light Fade Jeans,701.0,2599.0,0.73,3.4,24.0,701.0,2599.0,240,Other,False
Thomas Scott,Men Clean Look Jeans,819.0,3299.0,24.8,4.0,220.0,819.0,3299.0,2200,Other,False
Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079.0,2399.0,0.55,3.1,116.0,1079.0,2399.0,1160,Relaxed,False
The Indian Garage Co,Men Bootcut Jeans,896.0,2299.0,0.61,4.1,151.0,896.0,2299.0,1510,Bootcut,False
Roadster,Men Straight Fit Mid-Rise Jeans,645.0,1699.0,0.62,3.6,5.0,645.0,1699.0,50,Mid-Rise,False
Red Tape,Men Skinny Fit Jeans,1379.0,6899.0,0.8,4.4,52.0,1379.0,6899.0,520,Skinny,False
Bene Kleed,Mid-Rise Baggy Fit Jeans,989.0,2999.0,0.67,3.7,1400.0,989.0,2999.0,14000,Mid-Rise,False
Thomas Scott,Men Smart Stretchable Jeans,824.0,3299.0,0.75,4.2,99.0,824.0,3299.0,990,Stretch,False
WROGN,Men Relaxed Fit Jeans,1385.0,2199.0,0.37,4.3,15.0,1385.0,2199.0,150,Relaxed,False
glitchez,Men Bootcut Jeans,575.0,1599.0,0.64,3.4,59.0,575.0,1599.0,590,Bootcut,False
Urbano Fashion,Men Relaxed Fit Cargo Jeans,1079.0,2399.0,0.55,4.1,947.0,1079.0,2399.0,9470,Relaxed,False
Bene Kleed,Men Relaxed Fit Jeans,988.0,2299.0,0.57,4.2,476.0,988.0,2299.0,4760,Relaxed,False
Urbano Fashion,Men Relaxed Fit Jeans,944.0,2099.0,0.55,4.0,611.0,944.0,2099.0,6110,Relaxed,False
Bene Kleed,Men Cotton Relaxed Fit Jeans,824.0,3299.0,0.75,4.1,309.0,824.0,3299.0,3090,Relaxed,False
HIGHLANDER,Men Cotton Relaxed Fit Jeans,574.0,2299.0,0.75,3.7,86.0,574.0,2299.0,860,Relaxed,False
Mast & Harbour,Men Regular Fit Jeans,827.0,1799.0,0.54,3.9,18.0,827.0,1799.0,180,Regular,False
Roadster,Men Tapered Fit Jeans,701.0,2699.0,0.74,3.7,987.0,701.0,2699.0,9870,Tapered,False
glitchez,Men Straight Fit Jeans,611.0,1699.0,0.64,3.9,31.0,611.0,1699.0,310,Straight Fit,False
The Indian Garage Co,Men Pure Cotton Skater Jeans,728.0,2699.0,0.73,3.7,57.0,728.0,2699.0,570,Pure Cotton,False
Roadster,Men Straight Fit Jeans,645.0,1699.0,0.62,3.9,34.0,645.0,1699.0,340,Straight Fit,False
Bene Kleed,Men Relaxed Fit Distress Jeans,951.0,2799.0,0.66,3.8,54.0,951.0,2799.0,540,Relaxed,False
WROGN,Men Straight Fit Jeans,1325.0,2599.0,0.49,3.9,300.0,1325.0,2599.0,3000,Straight Fit,False
MAAHIT,Men Mid-Rise Baggy Jeans,689.0,2999.0,0.77,3.1,49.0,689.0,2999.0,490,Mid-Rise,False
glitchez,Men Wide Leg Jeans,593.0,2199.0,0.73,3.5,65.0,593.0,2199.0,650,Wide Leg,False
Kotty,Men Low-Rise Jeans,619.0,1999.0,0.69,3.8,859.0,619.0,1999.0,8590,Low-Rise,False
glitchez,Men Straight Jeans,647.0,2399.0,0.73,3.5,124.0,647.0,2399.0,1240,Other,False
glitchez,Men Wide Leg Jeans,615.0,2199.0,0.72,3.5,79.0,615.0,2199.0,790,Wide Leg,False
Thomas Scott,Men Bootcut Jeans,999.0,3499.0,25.0,3.9,401.0,999.0,3499.0,4010,Bootcut,False
